comment,image,read,like,link,avatar,message,title,nickname,time,money
39,http://upload-images.jianshu.io/upload_images/1359662-655e8b720c267fb9.png?imageMogr2/auto-orient/strip|imageView2/1/w/150/h/120,10105,1019,http://www.jianshu.com/p/3884a6b7a780,http://upload.jianshu.io/users/upload_avatars/1359662/b7003870-b274-4451-80f2-ddd640960462.jpg?imageMogr2/auto-orient/strip|imageView2/1/w/64/h/64,"
      大家好，我是小丸子~ 终于，双十一马上要到了，整理了这么多天，我特意把最重要，也是关注人数最多的淘宝美食留在了最后，希望能够在这期间整理更多的美食和活动，给你们带来更好的内容...
    ",好吃到哭！淘宝上双十一最值得购买的美食有哪些？,小丸子的杂物集,2017-11-09T20:39:59+08:00,0
248,http://upload-images.jianshu.io/upload_images/1665079-ce77173c5e763468.jpg?imageMogr2/auto-orient/strip|imageView2/1/w/150/h/120,14730,552,http://www.jianshu.com/p/c3a55236340f,http://upload.jianshu.io/users/upload_avatars/1665079/368dd2259f49.jpg?imageMogr2/auto-orient/strip|imageView2/1/w/64/h/64,"
      我们当然希望这个世界人人向善、人人遵纪守法、人人道德高尚，但那是理想的应然状态。从实然到应然，总是需要时间。之于个体，这段时间应该如何自处，才是人生的永恒命题。From南下的...
    ",对不起，成年人的世界只分强弱，不谈对错,南下的夏天,2017-11-10T08:26:05+08:00,3
94,http://upload-images.jianshu.io/upload_images/2312601-c6e71fe5f1ed2542.jpg?imageMogr2/auto-orient/strip|imageView2/1/w/150/h/120,6295,183,http://www.jianshu.com/p/6a1c31bb6695,http://upload.jianshu.io/users/upload_avatars/2312601/e5ec6295-90c5-41a1-9de6-f6b28668b304.jpg?imageMogr2/auto-orient/strip|imageView2/1/w/64/h/64,"
      9月16日   母亲因为腹痛已经在三门峡中心医院住院一周了，经过四次洗肠，ct，胃镜，肠镜各种检查，被折腾的不成样子，可最后依然没有查出病因。我人在洛阳，心里满是焦虑，想着周...
    ",和母亲的最后55天,刘都,2017-11-09T07:33:45+08:00,23
9,,1053,39,,http://upload.jianshu.io/users/upload_avatars/19107/08f8146dae87.jpg?imageMogr2/auto-orient/strip|imageView2/1/w/64/h/64,"
      好中文写作课详情 好中文写作课第二期已经开始招生，在这里，王佩老师对大家关心的问题集中解答。 问：你对好中文写作课这么有信心？ 答：虽然没有“自信人生二百年，会当水击三千里”...
    ",第二期“好中文写作课”问与答,王佩,2017-11-10T02:06:12+08:00,0
35,http://upload-images.jianshu.io/upload_images/4098035-3699a78e9fa9a7b7.jpeg?imageMogr2/auto-orient/strip|imageView2/1/w/150/h/120,239,46,http://www.jianshu.com/p/01831dc9db2c,http://upload.jianshu.io/users/upload_avatars/4098035/40be7343-8ec0-4f01-9d8f-766a328478f2.jpg?imageMogr2/auto-orient/strip|imageView2/1/w/64/h/64,"
      “更能消几番风雨，最可怜一堆肉躯。曾几何时，我们下身肿胀，我们激素吱吱作响，我们热爱姑娘，我们万物生长。……” 当我站在厨房门口高声诵读冯唐《如何避免成为一个油腻的中年猥琐男...
    ",人间有味是清欢：也谈油腻的中年,一笑作春风,2017-11-10T09:08:06+08:00,2
80,http://upload-images.jianshu.io/upload_images/5479122-36144689dcaee928.png?imageMogr2/auto-orient/strip|imageView2/1/w/150/h/120,1053,69,http://www.jianshu.com/p/ad27cc7768e0,http://upload.jianshu.io/users/upload_avatars/5479122/9201a33e-d57d-4347-bfd4-7d3758bcab47.jpg?imageMogr2/auto-orient/strip|imageView2/1/w/64/h/64,"
      想变成鱼，只有七秒的记忆，可以没心没肺。 2017.11.09 星期四 晴无风 -1- 十二月的晚上，我穿着棉衣回家，路上风很大，没有什么人，安安静静的。 我就这样一条街一条...
    ",我承认，想你了,似舞,2017-11-09T20:00:01+08:00,1
48,http://upload-images.jianshu.io/upload_images/8320971-92e27a7ef4af2963.jpg?imageMogr2/auto-orient/strip|imageView2/1/w/150/h/120,868,51,http://www.jianshu.com/p/3fb494e797d1,http://upload.jianshu.io/users/upload_avatars/8320971/4be500dc-2144-4c32-b059-aba7f1db3077.jpg?imageMogr2/auto-orient/strip|imageView2/1/w/64/h/64,"
      01 还记得阿悦刚高考完的那个暑假，有一天，她突然来找我，我以为是她知道高考落榜后很失落，找我散心。结果她说让我陪她去医院。 我问她是身体哪里不舒服吗？ 她支支吾吾了半天，才...
    ",“妈，我考不上大学都怪你”,星飞飞,2017-11-10T05:39:41+08:00,1
21,http://upload-images.jianshu.io/upload_images/4770303-0ac78b25c5d72f6d.jpg?imageMogr2/auto-orient/strip|imageView2/1/w/150/h/120,325,29,http://www.jianshu.com/p/3edec5348339,http://upload.jianshu.io/users/upload_avatars/4770303/44f64a15-b826-4ae7-8a8b-5fc929db74a0.jpg?imageMogr2/auto-orient/strip|imageView2/1/w/64/h/64,"
      静静地清晨手机突然来了条微信：贾维太学习咋样？我一下子愣住了，不知道是谁。 怎么也没想到是孩子以前的班主任——刘玉莲老师！ 她是孩子在鲁北时的班主任，一个蒙古族的老师。如今我...
    ",心中的萨日朗,一缕阳光yg,2017-11-06T18:20:32+08:00,1
26,http://upload-images.jianshu.io/upload_images/7913268-8b7dc009b6df1436?imageMogr2/auto-orient/strip|imageView2/1/w/150/h/120,2776,98,http://www.jianshu.com/p/b19b9264e35b,http://upload.jianshu.io/users/upload_avatars/7913268/7f6fce28-ff38-4e18-acd8-ec3e842df72c.jpg?imageMogr2/auto-orient/strip|imageView2/1/w/64/h/64,"
      大概是因为听“好看的女孩都自带烧钱属性”把耳朵听出茧子了，在这个全民即将剁手的季节，我决定模仿策划一篇男性情感鸡汤，教育男人们也应该学会用物质武装自己。 @烟袋斜姐 有人问我...
    ",有趣的男生自带烧钱属性,烟袋斜姐,2017-11-09T22:12:59+08:00,0
26,,137,21,,http://upload.jianshu.io/users/upload_avatars/5325378/d25f5e99-6f8e-45e6-9a2e-8163c86e6c9b.jpg?imageMogr2/auto-orient/strip|imageView2/1/w/64/h/64,"
      人的一生有时真的说不清楚，有的人前半生像驴一样被人使唤，累死累活也吃不上好粮。 可到晚年却儿孙满堂，天天眯着眼睛，躺在摇椅上晒太阳，有晚辈为自己端茶递水，拿捏按摩，美美地享受...
    ",王安石:其实我也有很柔的时候,晴雪凝,2017-11-09T13:57:26+08:00,0
58,http://upload-images.jianshu.io/upload_images/5880188-fd915d88a8b32983.jpg?imageMogr2/auto-orient/strip|imageView2/1/w/150/h/120,814,53,http://www.jianshu.com/p/c8072b3e2955,http://upload.jianshu.io/users/upload_avatars/5880188/312f3527-484e-42ba-bda9-8b56ef59b4a9.jpg?imageMogr2/auto-orient/strip|imageView2/1/w/64/h/64,"
      随便翻开一本中国古代文学作品，里面都写满了浓郁的情感，特别是绚烂的爱情，可同时，也有满眼的离情和厌弃。“弃妇”，是中国古代社会的一种常见现象，继而，成为一个特殊的群体。 从《...
    ",你怎么就把自己活成了一个弃妇？,米喜,2017-11-10T05:58:14+08:00,1
25,http://upload-images.jianshu.io/upload_images/4036988-147b7ba6080409b6.png?imageMogr2/auto-orient/strip|imageView2/1/w/150/h/120,642,44,http://www.jianshu.com/p/78641d276095,http://upload.jianshu.io/users/upload_avatars/4036988/1ed3b460-bf6c-434b-b354-1b718b05d7cf.jpg?imageMogr2/auto-orient/strip|imageView2/1/w/64/h/64,"
      01 洗过的头发还在滴着水，温如谦用毛巾擦了擦湿润的头发后，像往常一样打开了微信。 高中同学群里热火朝天，大家在商量这个周末聚餐的事宜。吴诗雨突然冒出一句，夕颜回来了，我叫上...
    ",年少时不懂爱，才浪费这许多年,洋芋丝丝,2017-11-10T07:01:08+08:00,0
21,http://upload-images.jianshu.io/upload_images/6262028-70e5e1719d2b7f65.png?imageMogr2/auto-orient/strip|imageView2/1/w/150/h/120,136,16,http://www.jianshu.com/p/70ac0b5004f1,http://upload.jianshu.io/users/upload_avatars/6262028/1fbf6516-2347-452e-a06d-58aaf02090ee.jpg?imageMogr2/auto-orient/strip|imageView2/1/w/64/h/64,"
      01  初入简书 “我不奢求永远，永远太遥远，却陷在爱的深渊。你说是我们相见恨晚，我说为爱你不够勇敢，在爱与不爱间来回千万遍，哪怕已伤痕累累，我也不管。”喜欢彭佳慧的这首《相...
    ",文字的力量||出书和开课邀请，你说是不是我们相见恨晚,谢晨晨,2017-11-10T08:18:54+08:00,0
6,http://upload-images.jianshu.io/upload_images/4447348-237c527104d4d608.jpg?imageMogr2/auto-orient/strip|imageView2/1/w/150/h/120,122,19,http://www.jianshu.com/p/365a0557d28f,http://upload.jianshu.io/users/upload_avatars/4447348/282371bc-23c0-4963-b385-78c6375a89e5.jpg?imageMogr2/auto-orient/strip|imageView2/1/w/64/h/64,"
      文/小西玖玖 “于我而言，此生最大之幸运，莫过于唤你作夫人。” 1 收到魏生请帖的时候，一股酸涩由心中升起，遍布大脑中的一连串记忆，最后带出那份甜，再流回血液里。 请帖上，白...
    ",夫人，我是魏生，你的先生,小西玖玖,2017-11-10T08:14:45+08:00,0
10,http://upload-images.jianshu.io/upload_images/5901395-150957a61ccbed32.jpg?imageMogr2/auto-orient/strip|imageView2/1/w/150/h/120,84,14,http://www.jianshu.com/p/0a8e8aeb4f1d,http://upload.jianshu.io/users/upload_avatars/5901395/42794962-37e6-4a9b-8a90-1bb1437faddf.jpg?imageMogr2/auto-orient/strip|imageView2/1/w/64/h/64,"
      今天小沫分享的是PS磨皮特效，它有神奇的魔力，如果脸上的痘痘和斑痕的小可爱们，再也不用担心啦！磨皮特效主要运用滤镜、图层蒙版、色彩混合模式，先看一张效果图： 看到皮肤这么嫩的...
    ",【Photoshop磨皮特效】皮肤如此水嫩的萌宝，你要不要？,一河漪沫,2017-11-10T08:59:04+08:00,0
74,http://upload-images.jianshu.io/upload_images/5344517-1758bbc7a9485e90.png?imageMogr2/auto-orient/strip|imageView2/1/w/150/h/120,867,57,http://www.jianshu.com/p/d434764ea1a2,http://upload.jianshu.io/users/upload_avatars/5344517/1a293e64-725c-4919-baf9-b8480a5f116f.jpg?imageMogr2/auto-orient/strip|imageView2/1/w/64/h/64,"
      当我说“加了同学群，才知道自己的真爱是简书”，也许你觉得我矫情，信不信由你，反正这是我的肺腑之言哦。 2017年11月10日   星期五    晴 上个月最后一个星期六中午，...
    ",加了同学群，才知道自己的真爱在哪里,野猫爱鱼,2017-11-10T01:29:56+08:00,2
5,http://upload-images.jianshu.io/upload_images/1727605-10a56ce38022abae.jpeg?imageMogr2/auto-orient/strip|imageView2/1/w/150/h/120,2640,20,http://www.jianshu.com/p/2f327783f7fe,http://upload.jianshu.io/users/upload_avatars/1727605/8a2e2e13bda3.jpeg?imageMogr2/auto-orient/strip|imageView2/1/w/64/h/64,"
      11月9日傍晚一个消息引爆整个朋友圈，祥源文化公告称，公司收到证监会行政处罚及市场禁入事先告知书，万家文化（已更名为祥源文化）、龙薇传媒等涉嫌信披违法违规案已调查完毕，依法拟...
    ",赵薇夫妇被证券市场禁入，明星杠杆投资到底犯了什么错？,慕容随风,2017-11-09T22:24:23+08:00,0
92,http://upload-images.jianshu.io/upload_images/7241612-ca813eea50605f2d.jpg?imageMogr2/auto-orient/strip|imageView2/1/w/150/h/120,1045,83,http://www.jianshu.com/p/1144341bde74,http://upload.jianshu.io/users/upload_avatars/7241612/80624018-6132-4d38-aeb6-6ea5519c1e90.jpg?imageMogr2/auto-orient/strip|imageView2/1/w/64/h/64,"
      2017年11月10日   星期五   晴到多云 我终于光荣退休了，儿子结婚添孙子，子孙满堂。退休工资保密，可以沾沾自喜告诉你们，离万只差一点点，比上班还多吧。 我是吃过苦的...
    ",我没病，有病的是你们,太湖浪子,2017-11-10T05:16:41+08:00,0
179,http://upload-images.jianshu.io/upload_images/3280592-5e54dcace3505656.jpg?imageMogr2/auto-orient/strip|imageView2/1/w/150/h/120,4831,272,http://www.jianshu.com/p/36833da1d5c3,http://upload.jianshu.io/users/upload_avatars/3280592/aac992d2-03ea-4877-92bb-e85b1977e98e.jpg?imageMogr2/auto-orient/strip|imageView2/1/w/64/h/64,"
      01 前些天，简书里的一个姑娘深夜在微信上找我说:“欢欢，你有时间吗？我现在睡不着，一个人的生活真的好孤独，我好害怕这种无依无靠的感觉，你能陪我说说话吗？” 我说:“好”。 ...
    ",这座城市风很大|你总要一个人，去走过那些孤独的日子,奕欢君,2017-11-09T20:09:42+08:00,3
10,http://upload-images.jianshu.io/upload_images/568470-b2bbc7e01878057b.png?imageMogr2/auto-orient/strip|imageView2/1/w/150/h/120,7595,69,http://www.jianshu.com/p/241c46912845,http://upload.jianshu.io/users/upload_avatars/568470/10ada909-3f70-43ca-8375-2554124cd714.png?imageMogr2/auto-orient/strip|imageView2/1/w/64/h/64,"
      每日图鉴 ·行走 | 想看看老成都的模样？来时光停滞了几十年的彭镇吧！ 作者：抱山 时差党 ·在美国为什么我从来就没担心过孩子在幼儿园里被虐待 作者：纽约蓝蓝 虐待孩子在美国...
    ",黛玉早报171110 —— 《在美国为什么我从来就没担心过孩子在幼儿园里被虐待》,简黛玉,2017-11-10T08:02:39+08:00,0
